symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed
CDSL,SELL,1192.7,1183.1,,10,1.5,CLOSED,Open=High SELL@09:18,09:18,96.0,True,0.75,,,,,,-218.04999999999984,1
ADANIENSOL,SELL,968.5,980.9,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-124.0,True,0.75,,,,,,-218.04999999999984,1
CGPOWER,SELL,680.45,684.8,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-43.5,True,0.75,,,,,,-218.04999999999984,1
TORNTPHARM,SELL,4277.1,4277.1,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,0.0,True,0.75,,,,,4277.1,-218.04999999999984,1
AUBANK,SELL,894.0,887.05,,10,1.5,CLOSED,Open=High SELL@09:18,09:18,95.5,True,0.75,,,,,,-218.04999999999984,1
DLF,SELL,522.25,522.55,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,-3.0,True,0.75,,,,,522.55,-218.04999999999984,1
ADANIENT,SELL,1862.2,1833.9,,10,2.25,CLOSED,Open=High SELL@09:18,09:18,390.0,True,0.75,,,,,,-218.04999999999984,1
SIEMENS__PYR1,SELL,3044.899,3067.7,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:18,-151.01,True,0.75,SIEMENS,1,,,,-218.04999999999984,1
HDFCAMC__PYR1,SELL,2317.554,2334.9,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:18,-100.46,True,0.75,HDFCAMC,1,,,,-218.04999999999984,1
UNITDSPR__PYR1,SELL,1287.928,1274.4,,10,1.5,CLOSED,Open=High SELL@09:18 [PYR1],09:18,135.28,True,0.75,UNITDSPR,1,,,,-218.04999999999984,1
CHOLAFIN__PYR1,SELL,1437.377,1437.2,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],09:18,37.77,True,0.75,CHOLAFIN,1,,,,-218.04999999999984,1
CDSL__PYR1,SELL,1186.7365,1195.6,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-88.63,True,0.75,CDSL,1,,,,-218.04999999999984,1
MAZDOCK__PYR1,SELL,2220.243,2236.9,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-166.57,True,0.75,MAZDOCK,1,,,,-218.04999999999984,1
CUMMINSIND__PYR1,SELL,4641.5755,4676.4,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-195.25,True,0.75,CUMMINSIND,1,,,,-218.04999999999984,1
360ONE__PYR1,SELL,982.264,989.6,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-73.36,True,0.75,360ONE,1,,,,-218.04999999999984,1
ADANIGREEN__PYR1,SELL,836.795,843.05,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-62.55,True,0.75,ADANIGREEN,1,,,,-218.04999999999984,1
ADANIENSOL__PYR1,SELL,963.6575,970.9,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-72.42,True,0.75,ADANIENSOL,1,,,,-218.04999999999984,1
HDFCAMC__PYR2,SELL,2305.908,2323.2,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR2],09:19,-172.92,True,0.75,HDFCAMC,2,,,,-218.04999999999984,1
ADANIPORTS__PYR1,SELL,1355.787,1345.0,,10,1.5,CLOSED,Open=High SELL@09:18 [PYR1],09:30,138.87,True,0.75,ADANIPORTS,1,,,,-218.04999999999984,1
SBIN__PYR1,SELL,1039.0785,1040.6,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],09:35,-15.21,True,0.75,SBIN,1,,,1040.6,-218.04999999999984,1
CHOLAFIN__PYR2,SELL,1430.154,1430.2,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],09:36,-0.46,True,0.75,CHOLAFIN,2,,,1430.2,-218.04999999999984,1
INDIGO__PYR1,SELL,4180.592,4147.9,,10,1.5,CLOSED,Open=High SELL@09:18 [PYR1],09:47,427.92,True,0.75,INDIGO,1,,,,-218.04999999999984,1
PRESTIGE__PYR1,SELL,1188.03,1179.0,,10,1.5,CLOSED,Open=High SELL@09:18 [PYR1],09:48,90.3,True,0.75,PRESTIGE,1,,,,-218.04999999999984,1
PRESTIGE__PYR2,SELL,1182.06,1181.8,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],09:52,2.6,True,0.75,PRESTIGE,2,,,,-218.04999999999984,1
UNITDSPR__PYR2,SELL,1281.456,1274.4,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],09:55,70.56,True,0.75,UNITDSPR,2,,,,-218.04999999999984,1
ADANIENT__PYR1,SELL,1852.889,1838.7,,10,1.5,CLOSED,Open=High SELL@09:18 [PYR1],09:57,296.89,True,0.75,ADANIENT,1,,,1852.9,-218.04999999999984,1
IRCTC__PYR1,SELL,512.624,512.6,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],10:05,0.24,True,0.75,IRCTC,1,,,512.6,-218.04999999999984,1
360ONE__PYR2,SELL,977.328,977.3,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],10:06,0.28,True,0.75,360ONE,2,,,977.3,-218.04999999999984,1
AUBANK__PYR1,SELL,889.53,889.55,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],10:07,-0.2,True,0.75,AUBANK,1,,,889.55,-218.04999999999984,1
GODREJPROP__PYR1,SELL,1513.395,1513.4,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],10:07,41.95,True,0.75,GODREJPROP,1,,,1513.4,-218.04999999999984,1
ADANIPORTS__PYR2,SELL,1348.974,1349.0,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],10:12,70.74,True,0.75,ADANIPORTS,2,,,1349.0,-218.04999999999984,1
GODREJPROP__PYR2,SELL,1505.79,1505.8,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],10:12,-0.1,True,0.75,GODREJPROP,2,,,1505.8,-218.04999999999984,1
HDFCLIFE__PYR1,SELL,603.9153,604.05,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],10:12,-1.35,True,0.75,HDFCLIFE,1,,,604.05,-218.04999999999984,1
BHARATFORG__PYR1,SELL,1694.286,1707.0,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],10:14,-41.14,True,0.75,BHARATFORG,1,,,,-218.04999999999984,1
AMBUJACEM,SELL,410.25,413.35,404.1,10,0.0,CLOSED,ORB Break SELL,10:15,-31.0,False,0.75,,,,,,-218.04999999999984,1
SBICARD,SELL,685.0,685.0,674.7,10,0.75,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,,,,,685.0,-218.04999999999984,1
TATACONSUM,SELL,1035.0,1042.8,1019.5,10,0.0,CLOSED,ORB Break SELL,10:15,-78.0,False,0.75,,,,,,-218.04999999999984,1
PIDILITIND,SELL,1335.2,1335.2,1315.2,10,0.75,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,,,,,1335.2,-218.04999999999984,1
EICHERMOT,SELL,6824.5,6816.0,6722.0,10,0.75,CLOSED,ORB Break SELL,10:15,85.0,False,0.75,,,,,,-218.04999999999984,1
CONCOR,SELL,435.0,435.0,428.45,10,0.75,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,,,,,435.0,-218.04999999999984,1
360ONE__PYR3,SELL,972.392,972.4,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],10:19,-0.08,True,0.75,360ONE,3,,,972.4,-218.04999999999984,1
UNITDSPR__PYR3,SELL,1274.984,1274.4,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],10:19,5.84,True,0.75,UNITDSPR,3,,,,-218.04999999999984,1
BHARATFORG__PYR2,SELL,1685.772,1698.4,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR2],10:19,-126.28,True,0.75,BHARATFORG,2,,,,-218.04999999999984,1
CONCOR__PYR1,SELL,433.695,434.35,428.5,10,0.75,CLOSED,ORB Break SELL [PYR1],10:19,-6.55,False,0.75,CONCOR,1,,,434.35,-218.04999999999984,1
SBICARD__PYR1,SELL,682.945,682.95,674.7,10,0.75,CLOSED,ORB Break SELL [PYR1],10:19,-0.05,False,0.75,SBICARD,1,,,682.95,-218.04999999999984,1
ADANIENT__PYR2,SELL,1843.578,1843.6,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],10:19,-0.22,True,0.75,ADANIENT,2,,,1843.6,-218.04999999999984,1
EICHERMOT__PYR1,SELL,6804.0265,6802.0,6722.0,10,0.75,CLOSED,ORB Break SELL [PYR1],10:20,20.26,False,0.75,EICHERMOT,1,,,,-218.04999999999984,1
SYNGENE,SELL,415.95,412.35,409.7,10,1.5,CLOSED,ORB Break SELL,10:20,62.5,False,0.75,,,,,,-218.04999999999984,1
INDUSINDBK,SELL,797.8,797.4,785.85,10,0.75,CLOSED,ORB Break SELL,10:20,4.0,False,0.75,,,,,,-218.04999999999984,1
