[2026-03-06 07:25:44] ENGINE STARTED | MODE: PAPER
[2026-03-06 07:32:27] ENGINE STARTED | MODE: PAPER
[2026-03-06 07:32:45] ENGINE STARTED | MODE: PAPER
[2026-03-06 09:42:20] ENGINE STARTED | MODE: PAPER
[2026-03-06 09:50:53] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:02:08] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:08:10] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:18:05] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:46:42] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:51:55] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:59:45] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:07:49] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:18:54] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:19:49] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:23:14] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:25:15] ENGINE STARTED | MODE: PAPER
[2026-03-06 13:22:05] PAPER BUY TATAPOWER Entry:378.75 SL:375.9 Target:388.2

[2026-03-06 13:22:39] PAPER BUY GLENMARK Entry:2119.5 SL:2103.6 Target:2172.5

[2026-03-06 14:11:14] PAPER BUY BLUESTARCO Entry:1956.7 SL:1942.0 Target:2005.6

[2026-03-06 14:52:44] ENGINE STARTED | MODE: PAPER
[2026-03-06 14:52:55] OFFLINE CLOSE INDIANB SL HIT (offline) BUY Entry:949.75 Exit:942.65 NetPnL:-91.00
[2026-03-06 14:52:55] OFFLINE CLOSE KEI SL HIT (offline) BUY Entry:4991.5 Exit:4954.0 NetPnL:-395.00
[2026-03-06 14:52:55] OFFLINE CLOSE TITAN SL HIT (offline) BUY Entry:4292.4 Exit:4260.2 NetPnL:-342.00
[2026-03-06 14:52:55] OFFLINE CLOSE APLAPOLLO SL HIT (offline) BUY Entry:2186.5 Exit:2170.1 NetPnL:-184.00
[2026-03-06 14:52:55] OFFLINE CLOSE DMART SL HIT (offline) SELL Entry:3832.1 Exit:3860.8 NetPnL:-307.00
[2026-03-06 14:52:55] OFFLINE CLOSE PGEL SL HIT (offline) BUY Entry:616.4 Exit:611.8 NetPnL:-66.00
[2026-03-06 15:15:04] PAPER SQUARE OFF SUNPHARMA BUY Entry:1794.8 Exit:1802.0 NetPnL:52.00
[2026-03-06 15:15:04] PAPER SQUARE OFF 360ONE SELL Entry:1070.7 Exit:1063.2 NetPnL:55.00
[2026-03-06 15:15:04] PAPER SQUARE OFF GODREJPROP SELL Entry:1681.0 Exit:1665.5 NetPnL:135.00
[2026-03-06 15:15:04] PAPER SQUARE OFF BIOCON BUY Entry:392.55 Exit:391.6 NetPnL:-29.50
[2026-03-06 15:15:04] PAPER SQUARE OFF HDFCBANK SELL Entry:862.35 Exit:855.75 NetPnL:46.00
[2026-03-06 15:15:04] PAPER SQUARE OFF BDL BUY Entry:1363.8 Exit:1359.5 NetPnL:-63.00
[2026-03-06 15:15:04] PAPER SQUARE OFF CUMMINSIND BUY Entry:4862.0 Exit:4801.4 NetPnL:-626.00
[2026-03-06 15:15:04] PAPER SQUARE OFF ADANIGREEN SELL Entry:873.9 Exit:859.25 NetPnL:126.50
[2026-03-06 15:15:04] PAPER SQUARE OFF HINDPETRO SELL Entry:412.9 Exit:404.1 NetPnL:68.00
[2026-03-06 15:15:04] PAPER SQUARE OFF TATAELXSI SELL Entry:4351.0 Exit:4337.4 NetPnL:116.00
[2026-03-06 15:15:04] PAPER SQUARE OFF HINDUNILVR SELL Entry:2228.1 Exit:2225.5 NetPnL:6.00
[2026-03-06 15:15:04] PAPER SQUARE OFF SBICARD SELL Entry:726.55 Exit:724.35 NetPnL:2.00
[2026-03-06 15:15:04] PAPER SQUARE OFF AMBUJACEM SELL Entry:474.2 Exit:467.0 NetPnL:52.00
[2026-03-06 15:15:04] PAPER SQUARE OFF LODHA SELL Entry:900.0 Exit:888.95 NetPnL:90.50
[2026-03-06 15:15:04] PAPER SQUARE OFF DALBHARAT SELL Entry:1900.6 Exit:1898.9 NetPnL:-3.00
[2026-03-06 15:15:04] PAPER SQUARE OFF NAUKRI SELL Entry:1003.5 Exit:981.2 NetPnL:203.00
[2026-03-06 15:15:04] PAPER SQUARE OFF MUTHOOTFIN SELL Entry:3270.0 Exit:3236.5 NetPnL:315.00
[2026-03-06 15:15:04] PAPER SQUARE OFF NATIONALUM BUY Entry:398.3 Exit:396.15 NetPnL:-41.50
[2026-03-06 15:15:04] PAPER SQUARE OFF SYNGENE SELL Entry:399.85 Exit:400.05 NetPnL:-22.00
[2026-03-06 15:15:04] PAPER SQUARE OFF OFSS SELL Entry:6730.0 Exit:6720.0 NetPnL:80.00
[2026-03-06 15:15:04] PAPER SQUARE OFF RBLBANK SELL Entry:307.7 Exit:304.05 NetPnL:16.50
[2026-03-06 15:15:04] PAPER SQUARE OFF KOTAKBANK SELL Entry:403.9 Exit:399.4 NetPnL:25.00
[2026-03-06 15:15:04] PAPER SQUARE OFF ALKEM SELL Entry:5531.0 Exit:5533.0 NetPnL:-40.00
[2026-03-06 15:15:04] PAPER SQUARE OFF VEDL BUY Entry:725.55 Exit:721.7 NetPnL:-58.50
[2026-03-06 15:15:04] PAPER SQUARE OFF JINDALSTEL BUY Entry:1192.1 Exit:1180.0 NetPnL:-141.00
[2026-03-06 15:15:04] PAPER SQUARE OFF ADANIENT SELL Entry:2068.2 Exit:2040.0 NetPnL:262.00
[2026-03-06 15:15:04] PAPER SQUARE OFF GODREJCP SELL Entry:1119.9 Exit:1117.6 NetPnL:3.00
[2026-03-06 15:15:04] PAPER SQUARE OFF POWERGRID BUY Entry:301.6 Exit:299.15 NetPnL:-44.50
[2026-03-06 15:15:04] PAPER SQUARE OFF KALYANKJIL SELL Entry:395.9 Exit:396.2 NetPnL:-23.00
[2026-03-06 15:15:04] PAPER SQUARE OFF NUVAMA SELL Entry:1234.7 Exit:1224.7 NetPnL:80.00
[2026-03-06 15:15:04] PAPER SQUARE OFF HINDZINC SELL Entry:590.5 Exit:587.2 NetPnL:13.00
[2026-03-06 15:15:04] PAPER SQUARE OFF TMPV SELL Entry:350.65 Exit:350.95 NetPnL:-23.00
[2026-03-06 15:15:04] PAPER SQUARE OFF ICICIPRULI SELL Entry:618.45 Exit:614.3 NetPnL:21.50
[2026-03-06 15:15:04] PAPER SQUARE OFF EXIDEIND SELL Entry:317.95 Exit:316.1 NetPnL:-1.50
[2026-03-06 15:15:04] PAPER SQUARE OFF JUBLFOOD SELL Entry:494.2 Exit:492.1 NetPnL:1.00
[2026-03-06 15:15:04] PAPER SQUARE OFF BHARATFORG BUY Entry:1920.9 Exit:1926.5 NetPnL:36.00
[2026-03-06 15:15:04] PAPER SQUARE OFF IRCTC SELL Entry:557.25 Exit:552.3 NetPnL:29.50
[2026-03-06 15:15:04] PAPER SQUARE OFF TRENT SELL Entry:3763.8 Exit:3720.2 NetPnL:416.00
[2026-03-06 15:15:04] PAPER SQUARE OFF KAYNES SELL Entry:3767.4 Exit:3746.3 NetPnL:191.00
[2026-03-06 15:15:04] PAPER SQUARE OFF BHARTIARTL SELL Entry:1884.3 Exit:1871.2 NetPnL:111.00
[2026-03-06 15:15:04] PAPER SQUARE OFF DLF SELL Entry:577.55 Exit:577.45 NetPnL:-19.00
[2026-03-06 15:15:04] PAPER SQUARE OFF KPITTECH SELL Entry:713.15 Exit:700.2 NetPnL:109.50
[2026-03-06 15:15:04] PAPER SQUARE OFF LICI SELL Entry:826.5 Exit:822.9 NetPnL:16.00
[2026-03-06 15:15:04] PAPER SQUARE OFF LT SELL Entry:3951.6 Exit:3950.5 NetPnL:-9.00
[2026-03-06 15:15:04] PAPER SQUARE OFF DIVISLAB BUY Entry:6400.0 Exit:6330.5 NetPnL:-715.00
[2026-03-06 15:15:04] PAPER SQUARE OFF HINDALCO BUY Entry:963.4 Exit:958.5 NetPnL:-69.00
[2026-03-06 15:15:04] PAPER SQUARE OFF INDUSTOWER BUY Entry:456.6 Exit:452.35 NetPnL:-62.50
[2026-03-06 15:15:04] PAPER SQUARE OFF ADANIENSOL BUY Entry:994.2 Exit:991.1 NetPnL:-51.00
[2026-03-06 15:15:04] PAPER SQUARE OFF TATAPOWER BUY Entry:378.75 Exit:375.6 NetPnL:-51.50
[2026-03-06 15:15:04] PAPER SQUARE OFF GLENMARK BUY Entry:2119.5 Exit:2125.6 NetPnL:41.00
[2026-03-06 15:15:04] PAPER SQUARE OFF BLUESTARCO BUY Entry:1956.7 Exit:1953.2 NetPnL:-55.00
[2026-03-06 15:15:04] ===== DAILY SUMMARY =====
[2026-03-06 15:15:04] Total Trades: 0
Buy Trades: 0
Sell Trades: 0
Stop Loss Hits: 0
Trailing SL Hits: 0
Target Hits: 0
Final Live PnL: -1711.9999999999982

[2026-03-06 15:32:48] ===== DAILY SUMMARY =====
[2026-03-06 15:32:48] Total Trades: 0
Buy Trades: 0
Sell Trades: 0
Stop Loss Hits: 0
Trailing SL Hits: 0
Target Hits: 0
Final Live PnL: 0

[2026-03-06 15:32:57] ===== DAILY SUMMARY =====
[2026-03-06 15:32:57] Total Trades   : 0  (Buy: 0  Sell: 0)
Wins / Losses  : 0 W / 0 L  |  Win Rate: 0.0%
Stop Loss Hits : 0
Trailing SL    : 0
Target Hits    : 0
Final PnL      : +0.00

[2026-03-06 15:33:37] ===== DAILY SUMMARY =====
[2026-03-06 15:33:37] Total Trades   : 0  (Buy: 0  Sell: 0)
Wins / Losses  : 0 W / 0 L  |  Win Rate: 0.0%
Stop Loss Hits : 0
Trailing SL    : 0
Target Hits    : 0
Final PnL      : +0.00

[2026-03-06 15:35:23] ENGINE STARTED | MODE: PAPER
[2026-03-06 15:36:29] ===== DAILY SUMMARY =====
[2026-03-06 15:36:29] Total Trades: 0
Buy Trades: 0
Sell Trades: 0
Stop Loss Hits: 0
Trailing SL Hits: 0
Target Hits: 0
Final Live PnL: -1711.9999999999982

[2026-03-06 16:58:08] ENGINE STARTED | MODE: PAPER
[2026-03-06 16:59:13] ===== DAILY SUMMARY =====
[2026-03-06 16:59:13] Total Trades   : 59  (Buy: 22  Sell: 37)
Wins / Losses  : 0 W / 0 L  |  Win Rate: 0.0%
Stop Loss Hits : 0
Trailing SL    : 0
Target Hits    : 0
Final PnL      : -1712.00

[2026-03-06 17:02:16] ENGINE STARTED | MODE: PAPER
[2026-03-06 17:04:59] PAPER BUY LT Entry:4116.0 SL:4085.1 Target:4218.9

