symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,daily_pnl_snapshot
ADANIENT__PYR2,SELL,1838.9,1838.6,1822.2,10,0.75,CLOSED,ORB Break SELL [PYR2],10:33,-250.0,False,0.75,ADANIENT,2,2.0363079869513646e+18,2.0363079873791836e+18,-6035.4000000000115
M&M,SELL,2985.5,3007.9,2940.7,10,0.0,CLOSED,ORB Break SELL,10:33,-229.0,False,0.75,,,,,-6035.4000000000115
ADANIGREEN__PYR2,SELL,807.625,813.7,800.3,10,0.75,CLOSED,ORB Break SELL [PYR2],10:34,-87.75,False,0.75,ADANIGREEN,2,2.0363081872713236e+18,2.0363081875691192e+18,-6035.4000000000115
AUBANK,SELL,860.0,866.45,847.1,10,0.0,CLOSED,ORB Break SELL,10:34,-64.5,False,0.75,,,,,-6035.4000000000115
COLPAL__PYR1,SELL,1850.7311,1864.6,1828.5,10,0.75,CLOSED,ORB Break SELL [PYR1],10:34,-207.19,False,0.75,COLPAL,1,2.0363082141232579e+18,2.036308214471385e+18,-6035.4000000000115
PAYTM,SELL,1006.7,1014.3,991.6,10,0.0,CLOSED,ORB Break SELL,10:34,-80.0,False,0.75,,,,,-6035.4000000000115
MAZDOCK__PYR1,SELL,2218.325,2235.0,2191.6,10,0.75,CLOSED,ORB Break SELL [PYR1],10:34,-233.75,False,0.75,MAZDOCK,1,2.0363082615901962e+18,2.036308261946712e+18,-6035.4000000000115
TRENT__PYR3,SELL,3354.6341,3379.8,3334.3,10,0.75,OPEN,ORB Break SELL [PYR3],10:35,0.0,False,0.75,TRENT,3,2.0363082847972803e+18,2.036308285166379e+18,-6035.4000000000115
SUPREMEIND,SELL,3691.0,3718.7,3635.6,10,0.0,CLOSED,ORB Break SELL,10:35,-301.6,False,0.75,,,,,-6035.4000000000115
LICI__PYR1,SELL,744.5596,750.15,735.6,10,0.75,CLOSED,ORB Break SELL [PYR1],10:35,-74.4,False,0.75,LICI,1,2.0363082871502848e+18,2.0363082874900234e+18,-6035.4000000000115
HAL__PYR1,SELL,3632.071,3659.3,3588.4,10,0.75,CLOSED,ORB Break SELL [PYR1],10:35,-399.29,False,0.75,HAL,1,2.036308302618878e+18,2.036308302950228e+18,-6035.4000000000115
BEL__PYR1,SELL,409.9664,413.05,405.05,10,0.75,CLOSED,ORB Break SELL [PYR1],10:35,-43.34,False,0.75,BEL,1,2.036308310814548e+18,2.0363083111165379e+18,-6035.4000000000115
ASTRAL__PYR1,SELL,1564.293,1576.0,1545.5,10,0.75,CLOSED,ORB Break SELL [PYR1],10:35,-181.57,False,0.75,ASTRAL,1,2.0363083131130266e+18,2.0363083134192108e+18,-6035.4000000000115
CGPOWER__PYR2,SELL,661.01,665.95,655.0,10,0.0,CLOSED,ORB Break SELL [PYR2],10:35,-39.4,False,0.75,CGPOWER,2,2.0363083159022387e+18,2.0363083162881147e+18,-6035.4000000000115
FORTIS,SELL,800.0,806.0,788.0,10,0.75,CLOSED,ORB Break SELL,10:35,-60.5,False,0.75,,,,,-6035.4000000000115
DLF__PYR1,SELL,516.5457,520.4,510.35,10,0.75,CLOSED,ORB Break SELL [PYR1],10:36,-55.04,False,0.75,DLF,1,2.036308734439252e+18,2.036308734976123e+18,-6035.4000000000115
SBIN__PYR1,SELL,1030.3995,1038.1,1018.0,10,0.75,CLOSED,ORB Break SELL [PYR1],10:53,-24.0,False,0.75,SBIN,1,2.0363129685681684e+18,2.0363129689582387e+18,-6035.4000000000115
HDFCAMC,SELL,2290.8,2308.0,2256.4,10,0.0,CLOSED,ORB Break SELL,11:08,-183.0,False,0.75,,,,,-6035.4000000000115
MFSL,SELL,1561.1,1560.9,1537.7,10,0.75,CLOSED,ORB Break SELL,11:10,2.0,False,0.75,,,,,-6035.4000000000115
MFSL__PYR1,SELL,1556.4167,1568.1,1537.7,10,0.0,CLOSED,ORB Break SELL [PYR1],11:12,-44.83,False,0.75,MFSL,1,2036317814176276480,2036317814545375232,-6035.4000000000115
MFSL__PYR2,SELL,1551.7334,1563.4,1537.7,10,0.0,CLOSED,ORB Break SELL [PYR2],11:13,-91.67,False,0.75,MFSL,2,2036318034209464320,2036318034532425728,-6035.4000000000115
360ONE,SELL,985.8,993.2,971.0,10,0.0,CLOSED,ORB Break SELL,11:30,-74.0,False,0.75,,,,,-6035.4000000000115
PRESTIGE,SELL,1192.8,1201.7,1174.9,10,0.0,CLOSED,ORB Break SELL,11:34,-89.1,False,0.75,,,,,-6035.4000000000115
ICICIBANK,SELL,1228.3,1237.5,1209.9,10,0.75,CLOSED,ORB Break SELL,11:39,-92.0,False,0.75,,,,,-6035.4000000000115
ICICIBANK__PYR1,SELL,1224.6151,1233.8,1209.9,10,0.0,CLOSED,ORB Break SELL [PYR1],12:13,-92.85,False,0.75,ICICIBANK,1,2036333183091793920,2036333183490252800,-6035.4000000000115
TRENT__PYR4,SELL,3344.4788,3369.6,3334.3,10,0.75,CLOSED,ORB Break SELL [PYR4],12:19,-252.81,False,0.75,TRENT,4,2036334698066010112,2036334698544160768,-6035.4000000000115
SBIN__PYR2,SELL,1027.299,1035.0,1018.0,10,0.0,CLOSED,ORB Break SELL [PYR2],12:27,-55.01,False,0.75,SBIN,2,2036336570126491648,2036336571254759424,-6035.4000000000115
SBIN__PYR3,SELL,1024.1985,1031.9,1018.0,10,0.0,CLOSED,ORB Break SELL [PYR3],12:27,-77.02,False,0.75,SBIN,3,2036336574970912769,2036336575277096960,-6035.4000000000115
