[2026-03-30 09:20:02] F5 FROZEN POLICYBZR O:1444.40 H:1452.40 L:1435.00 C:1436.00 Range:1.20%
[2026-03-30 09:20:02] F5 FROZEN MFSL O:1537.00 H:1556.80 L:1527.80 C:1534.80 Range:1.89%
[2026-03-30 09:20:02] F5 FROZEN PHOENIXLTD O:1489.80 H:1519.00 L:1475.00 C:1486.30 Range:2.95%
[2026-03-30 09:20:02] F5 FROZEN APLAPOLLO O:1954.60 H:1976.30 L:1942.50 C:1953.60 Range:1.73%
[2026-03-30 09:20:02] F5 FROZEN SHREECEM O:23220.00 H:23535.00 L:23045.00 C:23440.00 Range:2.11%
[2026-03-30 09:20:02] F5 FROZEN HDFCAMC O:2283.70 H:2290.10 L:2260.10 C:2283.80 Range:1.31%
[2026-03-30 09:20:02] F5 FROZEN BRITANNIA O:5478.50 H:5483.00 L:5451.50 C:5468.50 Range:0.57%
[2026-03-30 09:20:03] F5 FROZEN SBILIFE O:1805.90 H:1828.40 L:1800.50 C:1800.50 Range:1.54%
[2026-03-30 09:20:04] F5 FROZEN BANKBARODA O:255.05 H:256.00 L:252.65 C:253.95 Range:1.31%
[2026-03-30 09:20:04] F5 FROZEN MOTHERSON O:107.68 H:108.10 L:106.50 C:107.70 Range:1.49%
[2026-03-30 09:20:04] F5 FROZEN HAVELLS O:1208.10 H:1224.70 L:1200.10 C:1203.30 Range:2.04%
[2026-03-30 09:20:04] F5 FROZEN COLPAL O:1852.00 H:1854.60 L:1840.30 C:1842.40 Range:0.77%
[2026-03-30 09:20:04] F5 FROZEN IREDA O:112.92 H:113.94 L:111.65 C:112.33 Range:2.03%
[2026-03-30 09:20:04] F5 FROZEN PNB O:102.82 H:103.72 L:101.97 C:102.66 Range:1.70%
[2026-03-30 09:20:04] F5 FROZEN PIDILITIND O:1306.50 H:1309.70 L:1298.10 C:1309.50 Range:0.89%
[2026-03-30 09:20:06] F5 FROZEN PGEL O:486.80 H:486.95 L:476.05 C:482.00 Range:2.24%
[2026-03-30 09:20:06] F5 FROZEN MARICO O:739.95 H:745.30 L:736.00 C:742.15 Range:1.26%
[2026-03-30 09:20:06] F5 FROZEN KFINTECH O:897.95 H:904.20 L:890.00 C:892.60 Range:1.58%
[2026-03-30 09:20:06] F5 FROZEN BHARATFORG O:1689.00 H:1705.20 L:1672.80 C:1686.10 Range:1.92%
[2026-03-30 09:20:06] F5 FROZEN BANDHANBNK O:146.64 H:146.83 L:145.36 C:145.60 Range:1.00%
[2026-03-30 09:20:06] F5 FROZEN KEI O:4078.50 H:4084.00 L:4025.50 C:4033.00 Range:1.43%
[2026-03-30 09:20:06] F5 FROZEN ASTRAL O:1599.70 H:1602.10 L:1581.50 C:1598.30 Range:1.29%
[2026-03-30 09:20:06] F5 FROZEN CONCOR O:433.50 H:434.10 L:428.90 C:431.00 Range:1.20%
[2026-03-30 09:20:06] F5 FROZEN DABUR O:414.20 H:416.15 L:412.05 C:413.50 Range:0.99%
[2026-03-30 09:20:06] F5 FROZEN PFC O:393.00 H:393.55 L:388.20 C:391.50 Range:1.36%
[2026-03-30 09:20:06] F5 FROZEN LICHSGFIN O:503.00 H:503.40 L:499.25 C:502.05 Range:0.83%
[2026-03-30 09:20:07] F5 FROZEN PATANJALI O:470.70 H:471.60 L:468.50 C:469.80 Range:0.66%
[2026-03-30 09:20:07] F5 FROZEN GAIL O:137.85 H:138.17 L:135.00 C:137.71 Range:2.30%
[2026-03-30 09:20:07] F5 FROZEN RECLTD O:315.65 H:316.15 L:312.20 C:314.65 Range:1.25%
[2026-03-30 09:20:07] F5 FROZEN NUVAMA O:1180.40 H:1194.90 L:1173.90 C:1173.90 Range:1.78%
[2026-03-30 09:20:07] F5 FROZEN IEX O:117.63 H:118.56 L:117.01 C:117.31 Range:1.32%
[2026-03-30 09:20:07] F5 FROZEN DLF O:516.40 H:518.70 L:512.80 C:515.55 Range:1.14%
[2026-03-30 09:20:07] F5 FROZEN VBL O:385.15 H:386.50 L:381.50 C:384.85 Range:1.30%
[2026-03-30 09:20:07] F5 FROZEN TATAELXSI O:4093.20 H:4130.00 L:4080.00 C:4099.60 Range:1.22%
[2026-03-30 09:20:07] F5 FROZEN INDUSTOWER O:418.60 H:425.10 L:417.70 C:419.15 Range:1.77%
[2026-03-30 09:20:07] F5 FROZEN MANAPPURAM O:252.15 H:252.85 L:250.00 C:250.55 Range:1.13%
[2026-03-30 09:20:07] F5 FROZEN NYKAA O:235.35 H:238.65 L:234.15 C:234.40 Range:1.91%
[2026-03-30 09:20:07] F5 FROZEN BAJAJHLDNG O:8980.00 H:9090.00 L:8920.00 C:8990.00 Range:1.89%
[2026-03-30 09:20:07] F5 FROZEN BANKINDIA O:141.65 H:142.92 L:140.61 C:141.18 Range:1.63%
[2026-03-30 09:20:07] F5 FROZEN POLYCAB O:6982.00 H:6997.50 L:6935.00 C:6987.50 Range:0.90%
[2026-03-30 09:20:07] F5 FROZEN ZYDUSLIFE O:887.05 H:892.20 L:885.55 C:887.45 Range:0.75%
[2026-03-30 09:20:07] F5 FROZEN GODREJCP O:998.30 H:1004.00 L:992.70 C:996.50 Range:1.13%
[2026-03-30 09:20:07] F5 FROZEN LODHA O:694.25 H:696.80 L:688.00 C:693.90 Range:1.27%
[2026-03-30 09:20:07] F5 FROZEN KALYANKJIL O:383.45 H:385.30 L:379.45 C:381.50 Range:1.53%
[2026-03-30 09:20:07] F5 FROZEN TATAPOWER O:384.75 H:385.90 L:381.35 C:384.90 Range:1.18%
[2026-03-30 09:20:07] F5 FROZEN PETRONET O:246.65 H:246.90 L:240.75 C:246.35 Range:2.49%
[2026-03-30 09:20:07] F5 FROZEN BIOCON O:364.95 H:369.95 L:363.85 C:364.20 Range:1.67%
[2026-03-30 09:20:07] F5 FROZEN IRFC O:90.96 H:91.50 L:90.00 C:90.48 Range:1.65%
[2026-03-30 09:20:07] F5 FROZEN OBEROIRLTY O:1446.30 H:1452.70 L:1435.70 C:1446.60 Range:1.18%
[2026-03-30 09:20:07] F5 FROZEN CROMPTON O:227.80 H:230.05 L:225.90 C:226.90 Range:1.82%
[2026-03-30 09:20:07] F5 FROZEN PIIND O:2772.00 H:2789.90 L:2730.00 C:2772.80 Range:2.16%
[2026-03-30 09:20:07] PYRAMID Leg1 LICI SELL Entry:745.16 SL:750.75 TSL-Only
[2026-03-30 09:20:08] F5 FROZEN CGPOWER O:661.10 H:663.30 L:653.70 C:661.00 Range:1.45%
[2026-03-30 09:20:08] F5 FROZEN EXIDEIND O:296.60 H:298.10 L:294.60 C:295.80 Range:1.18%
[2026-03-30 09:20:08] F5 FROZEN GODREJPROP O:1475.70 H:1487.80 L:1466.00 C:1472.40 Range:1.48%
[2026-03-30 09:20:08] F5 FROZEN NBCC O:79.29 H:79.70 L:78.64 C:79.00 Range:1.34%
[2026-03-30 09:20:08] F5 FROZEN FEDERALBNK O:263.30 H:267.85 L:262.30 C:262.40 Range:2.11%
[2026-03-30 09:20:08] F5 FROZEN IRCTC O:505.70 H:508.90 L:501.25 C:504.25 Range:1.51%
[2026-03-30 09:20:08] F5 FROZEN KPITTECH O:651.50 H:655.80 L:644.95 C:652.65 Range:1.67%
[2026-03-30 09:20:08] F5 FROZEN DIVISLAB O:5928.00 H:5968.00 L:5905.50 C:5907.00 Range:1.05%
[2026-03-30 09:20:08] F5 FROZEN SWIGGY O:265.30 H:266.80 L:261.80 C:263.65 Range:1.88%
[2026-03-30 09:20:08] F5 FROZEN MAXHEALTH O:955.60 H:969.10 L:954.80 C:955.00 Range:1.50%
[2026-03-30 09:20:08] F5 FROZEN HUDCO O:165.71 H:166.89 L:164.61 C:164.67 Range:1.38%
[2026-03-30 09:20:49] PYRAMID Leg1 AXISBANK SELL Entry:1156.59 SL:1165.30 TSL-Only
[2026-03-30 09:23:31] WAAREEENER SL HIT SELL Entry:3045.0 Exit:3043.6 NetPnL:14.00
[2026-03-30 09:23:31] WAAREEENER__PYR1 SL HIT SELL Entry:3029.775 Exit:3043.6 NetPnL:-138.25
[2026-03-30 09:24:58] PYRAMID Leg2 TORNTPOWER SELL Entry:1318.28 SL:1328.20 TSL-Only
[2026-03-30 09:25:15] PYRAMID Leg1 LAURUSLABS SELL Entry:993.01 SL:1000.50 TSL-Only
