[2026-03-25 08:46:28] ENGINE STARTED | MODE: PAPER
[2026-03-25 09:18:00] PAPER SELL TECHM Entry:1400.2 SL:1415.9 TSL-Only

[2026-03-25 09:18:00] PAPER SELL MPHASIS Entry:2128.1 SL:2147.5 TSL-Only

[2026-03-25 09:18:59] PYRAMID Leg1 MPHASIS SELL Entry:2117.46 SL:2133.30 TSL-Only
[2026-03-25 09:20:00] F5 FROZEN TMPV O:315.45 H:318.35 L:314.60 C:316.85 Range:1.19%
[2026-03-25 09:20:00] F5 FROZEN BAJAJHLDNG O:9427.00 H:9526.00 L:9427.00 C:9526.00 Range:1.05%
[2026-03-25 09:20:00] F5 FROZEN FORTIS O:815.10 H:823.15 L:813.05 C:822.20 Range:1.24%
[2026-03-25 09:20:01] F5 FROZEN TATAELXSI O:4220.00 H:4228.60 L:4187.50 C:4202.10 Range:0.97%
[2026-03-25 09:20:01] F5 FROZEN GLENMARK O:2119.90 H:2125.90 L:2106.10 C:2117.90 Range:0.93%
[2026-03-25 09:20:01] F5 FROZEN ADANIENSOL O:971.00 H:984.30 L:970.30 C:983.70 Range:1.44%
[2026-03-25 09:20:01] F5 FROZEN INDUSTOWER O:432.00 H:434.40 L:430.70 C:434.15 Range:0.86%
[2026-03-25 09:20:01] F5 FROZEN DMART O:3773.00 H:3807.90 L:3761.00 C:3803.20 Range:1.24%
[2026-03-25 09:20:01] F5 FROZEN LUPIN O:2338.10 H:2353.50 L:2331.20 C:2351.10 Range:0.95%
[2026-03-25 09:20:01] F5 FROZEN SBILIFE O:1843.20 H:1850.00 L:1839.20 C:1849.30 Range:0.59%
[2026-03-25 09:20:01] F5 FROZEN HAVELLS O:1249.90 H:1259.40 L:1240.60 C:1259.40 Range:1.50%
[2026-03-25 09:20:01] F5 FROZEN MFSL O:1601.50 H:1610.00 L:1580.70 C:1600.60 Range:1.83%
[2026-03-25 09:20:01] F5 FROZEN UNIONBANK O:176.02 H:178.80 L:175.52 C:178.65 Range:1.86%
[2026-03-25 09:20:02] F5 FROZEN TATAPOWER O:388.00 H:389.80 L:387.05 C:389.05 Range:0.71%
[2026-03-25 09:20:02] F5 FROZEN PRESTIGE O:1225.00 H:1236.70 L:1220.30 C:1235.40 Range:1.34%
[2026-03-25 09:20:02] F5 FROZEN RVNL O:262.95 H:265.45 L:261.30 C:264.30 Range:1.58%
[2026-03-25 09:20:02] F5 FROZEN ULTRACEMCO O:10887.00 H:11026.00 L:10860.00 C:11026.00 Range:1.52%
[2026-03-25 09:20:02] F5 FROZEN SAIL O:146.99 H:148.68 L:145.95 C:148.68 Range:1.86%
[2026-03-25 09:20:02] F5 FROZEN RECLTD O:325.00 H:325.80 L:323.25 C:325.10 Range:0.78%
[2026-03-25 09:20:02] F5 FROZEN ZYDUSLIFE O:888.90 H:894.00 L:886.50 C:893.75 Range:0.84%
[2026-03-25 09:20:02] F5 FROZEN SOLARINDS O:12708.00 H:12999.00 L:12708.00 C:12890.00 Range:2.29%
[2026-03-25 09:20:02] F5 FROZEN VBL O:393.90 H:395.95 L:391.10 C:395.25 Range:1.23%
[2026-03-25 09:20:02] F5 FROZEN TATACONSUM O:1053.50 H:1061.80 L:1050.60 C:1060.60 Range:1.06%
[2026-03-25 09:20:02] F5 FROZEN RBLBANK O:301.25 H:303.60 L:301.25 C:302.40 Range:0.78%
[2026-03-25 09:20:02] F5 FROZEN SBICARD O:683.60 H:692.50 L:678.95 C:692.50 Range:1.98%
[2026-03-25 09:20:02] F5 FROZEN SUNPHARMA O:1765.10 H:1771.90 L:1755.50 C:1771.00 Range:0.93%
[2026-03-25 09:20:02] F5 FROZEN TORNTPHARM O:4278.10 H:4278.20 L:4231.00 C:4262.50 Range:1.10%
[2026-03-25 09:20:02] F5 FROZEN VOLTAS O:1329.30 H:1343.90 L:1326.20 C:1339.80 Range:1.33%
[2026-03-25 09:20:02] F5 FROZEN SRF O:2500.00 H:2510.00 L:2484.80 C:2505.50 Range:1.01%
[2026-03-25 09:20:02] F5 FROZEN UPL O:625.00 H:628.45 L:623.10 C:626.15 Range:0.86%
[2026-03-25 09:20:02] F5 FROZEN SUPREMEIND O:3773.20 H:3865.00 L:3773.20 C:3860.00 Range:2.43%
[2026-03-25 09:20:03] F5 FROZEN TVSMOTOR O:3513.50 H:3541.10 L:3503.00 C:3539.80 Range:1.08%
[2026-03-25 09:20:03] F5 FROZEN TIINDIA O:2603.60 H:2624.90 L:2576.30 C:2612.30 Range:1.87%
[2026-03-25 09:20:03] F5 FROZEN CANBK O:134.95 H:136.64 L:134.28 C:136.17 Range:1.75%
[2026-03-25 09:20:03] F5 FROZEN BANKBARODA O:274.55 H:277.45 L:272.20 C:273.55 Range:1.91%
[2026-03-25 09:20:03] F5 FROZEN JIOFIN O:235.45 H:236.65 L:234.75 C:236.65 Range:0.81%
[2026-03-25 09:20:03] F5 FROZEN AUROPHARMA O:1287.00 H:1296.00 L:1282.10 C:1295.10 Range:1.08%
[2026-03-25 09:20:03] F5 FROZEN KFINTECH O:915.00 H:925.65 L:914.00 C:925.25 Range:1.27%
[2026-03-25 09:20:03] F5 FROZEN ITC O:292.75 H:294.15 L:292.25 C:294.00 Range:0.65%
[2026-03-25 09:20:03] F5 FROZEN COLPAL O:1892.30 H:1910.70 L:1877.00 C:1906.60 Range:1.78%
[2026-03-25 09:20:03] F5 FROZEN BANDHANBNK O:151.10 H:152.70 L:150.27 C:152.35 Range:1.61%
[2026-03-25 09:20:03] F5 FROZEN ABB O:6219.00 H:6279.00 L:6200.00 C:6279.00 Range:1.27%
[2026-03-25 09:20:03] F5 FROZEN BDL O:1188.40 H:1193.40 L:1185.30 C:1191.70 Range:0.68%
[2026-03-25 09:20:03] F5 FROZEN IREDA O:115.51 H:117.70 L:115.51 C:117.42 Range:1.90%
[2026-03-25 09:20:03] F5 FROZEN AUBANK O:895.00 H:900.00 L:881.85 C:898.55 Range:2.03%
[2026-03-25 09:20:03] F5 FROZEN BHARATFORG O:1735.50 H:1740.80 L:1722.60 C:1736.30 Range:1.05%
[2026-03-25 09:20:03] F5 FROZEN CGPOWER O:677.20 H:681.00 L:675.00 C:677.10 Range:0.89%
[2026-03-25 09:20:03] F5 FROZEN AMBUJACEM O:415.55 H:424.30 L:415.55 C:424.20 Range:2.11%
[2026-03-25 09:20:03] F5 FROZEN BIOCON O:371.70 H:376.00 L:371.70 C:375.95 Range:1.16%
[2026-03-25 09:20:03] F5 FROZEN BHEL O:259.95 H:261.50 L:259.35 C:261.05 Range:0.83%
[2026-03-25 09:20:03] F5 FROZEN DABUR O:425.00 H:426.90 L:421.10 C:426.60 Range:1.36%
[2026-03-25 09:20:03] F5 FROZEN DLF O:526.90 H:537.75 L:525.75 C:537.50 Range:2.28%
[2026-03-25 09:20:03] F5 FROZEN CONCOR O:443.00 H:443.40 L:435.70 C:440.90 Range:1.74%
[2026-03-25 09:20:03] F5 FROZEN ASTRAL O:1614.00 H:1639.40 L:1606.40 C:1634.70 Range:2.04%
[2026-03-25 09:20:04] F5 FROZEN INDUSINDBK O:806.00 H:814.70 L:806.00 C:810.65 Range:1.08%
