symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
POLICYBZR__PYR1,BUY,1503.5973,1503.5,1521.6,10,0.75,CLOSED,ORB Break [PYR1],10:23,-0.97,False,0.75,POLICYBZR,1,,,,1151.4619999999993,1,0
POLICYBZR__PYR2,BUY,1508.0946,1508.5,1521.6,10,0.75,CLOSED,ORB Break [PYR2],10:24,135.05,False,0.75,POLICYBZR,2,,,,1151.4619999999993,1,0
LICHSGFIN,BUY,534.35,531.7,542.35,10,0.75,CLOSED,ORB Break,10:26,-26.5,False,0.75,,,,,531.7,1151.4619999999993,1,0
KAYNES,BUY,4126.6,4160.5,4188.5,10,1.5,CLOSED,ORB Break,10:29,619.0,False,0.75,,,,,,1151.4619999999993,1,0
KEI,BUY,4659.3,4656.6,4729.2,10,0.75,CLOSED,ORB Break,10:30,-27.0,False,0.75,,,,,4656.6,1151.4619999999993,1,0
KAYNES__PYR1,BUY,4138.9798,4140.2,4188.5,10,0.75,CLOSED,ORB Break [PYR1],10:30,495.2,False,0.75,KAYNES,1,,,,1151.4619999999993,1,0
KAYNES__PYR2,BUY,4151.3596,4151.5,4188.5,10,0.75,CLOSED,ORB Break [PYR2],10:31,371.4,False,0.75,KAYNES,2,,,,1151.4619999999993,1,0
CGPOWER,BUY,760.3,757.1,771.7,10,0.75,CLOSED,ORB Break,10:31,-32.0,False,0.75,,,,,757.1,1151.4619999999993,1,0
ADANIENSOL__PYR1,BUY,1201.0925,1198.4,1215.45,10,0.75,CLOSED,ORB Break [PYR1],10:31,-26.92,False,0.75,ADANIENSOL,1,,,1198.4,1151.4619999999993,1,0
ADANIENT,BUY,2187.8,2185.1,2220.6,10,0.75,CLOSED,ORB Break,10:31,-27.0,False,0.75,,,,,2185.1,1151.4619999999993,1,0
KEI__PYR1,BUY,4673.2779,4665.4,4729.2,10,0.75,CLOSED,ORB Break [PYR1],10:31,-78.78,False,0.75,KEI,1,,,4665.4,1151.4619999999993,1,0
JINDALSTEL,BUY,1240.2,1237.5,1258.8,10,0.75,CLOSED,ORB Break,10:32,-27.0,False,0.75,,,,,1237.5,1151.4619999999993,1,0
LICHSGFIN__PYR1,BUY,535.953,533.3,542.35,10,0.75,CLOSED,ORB Break [PYR1],10:34,-26.53,False,0.75,LICHSGFIN,1,,,533.3,1151.4619999999993,1,0
MUTHOOTFIN,BUY,3660.0,3649.3,3714.9,10,0.75,CLOSED,ORB Break,10:36,-107.0,False,0.75,,,,,3649.3,1151.4619999999993,1,0
ADANIENSOL__PYR2,BUY,1204.685,1199.5,1215.45,10,0.75,CLOSED,ORB Break [PYR2],10:36,-51.85,False,0.75,ADANIENSOL,2,,,1199.5,1151.4619999999993,1,0
TRENT,BUY,4035.8,4037.0,4096.3,10,0.75,CLOSED,ORB Break,10:41,12.0,False,0.75,,,,,,1151.4619999999993,1,0
TRENT__PYR1,BUY,4047.9074,4048.4,4096.3,10,0.75,CLOSED,ORB Break [PYR1],10:42,4.93,False,0.75,TRENT,1,,,,1151.4619999999993,1,0
TRENT__PYR2,BUY,4060.0148,4060.2,4096.3,10,0.75,CLOSED,ORB Break [PYR2],10:44,1.85,False,0.75,TRENT,2,,,,1151.4619999999993,1,0
ICICIPRULI,SELL,562.8,565.45,554.35,10,0.75,CLOSED,ORB Break SELL,10:50,32.0,False,0.75,,,,,565.45,1151.4619999999993,1,0
BAJAJFINSV,BUY,1854.4,1851.7,1882.2,10,0.75,CLOSED,ORB Break,10:53,-27.0,False,0.75,,,,,1851.7,1151.4619999999993,1,0
ASIANPAINT,BUY,2444.2,2441.5,2480.9,10,0.75,CLOSED,ORB Break,10:53,-27.0,False,0.75,,,,,2441.5,1151.4619999999993,1,0
VBL,BUY,453.0,450.35,459.8,10,0.75,CLOSED,ORB Break,10:53,-26.5,False,0.75,,,,,450.35,1151.4619999999993,1,0
TORNTPHARM,SELL,4120.6,4123.8,,10,1.5,CLOSED,Open=High Breakdown SELL,10:54,-32.0,True,1.5,,,,,4123.8,1151.4619999999993,1,0
HDFCLIFE,SELL,642.85,637.5,633.2,10,1.5,CLOSED,ORB Break SELL,10:58,96.5,False,0.75,,,,,645.5,1151.4619999999993,1,0
VBL__PYR1,BUY,454.359,450.95,459.8,10,0.0,CLOSED,ORB Break [PYR1],11:11,-34.09,False,0.75,VBL,1,,,,1151.4619999999993,1,0
VBL__PYR2,BUY,455.718,452.3,459.8,10,0.0,CLOSED,ORB Break [PYR2],11:15,-34.18,False,0.75,VBL,2,,,,1151.4619999999993,1,0
KEI__PYR2,BUY,4687.2558,4652.1,4729.2,10,0.0,CLOSED,ORB Break [PYR2],11:19,-306.56,False,0.75,KEI,2,,,,1151.4619999999993,1,0
HDFCBANK__PYR1,SELL,807.7196,807.65,798.0,10,0.75,CLOSED,ORB Break SELL [PYR1],11:23,97.2,False,0.75,HDFCBANK,1,,,,1151.4619999999993,1,0
HDFCLIFE__PYR1,SELL,640.9215,640.85,633.2,10,0.75,CLOSED,ORB Break SELL [PYR1],11:30,77.21,False,0.75,HDFCLIFE,1,,,,1151.4619999999993,1,0
HDFCBANK__PYR2,SELL,805.2891,805.15,798.0,10,0.75,CLOSED,ORB Break SELL [PYR2],11:45,72.89,False,0.75,HDFCBANK,2,,,,1151.4619999999993,1,0
HDFCLIFE__PYR2,SELL,638.9929,638.85,633.2,10,0.75,CLOSED,ORB Break SELL [PYR2],12:04,57.93,False,0.75,HDFCLIFE,2,,,,1151.4619999999993,1,0
INDUSTOWER__PYR3,SELL,414.2418,417.35,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR3],12:48,12.92,True,1.5,INDUSTOWER,3,,,,1151.4619999999993,1,0
ICICIPRULI__PYR1,SELL,561.1116,561.05,554.35,10,0.75,CLOSED,ORB Break SELL [PYR1],12:50,0.62,False,0.75,ICICIPRULI,1,,,,1151.4619999999993,1,0
ICICIPRULI__PYR2,SELL,559.4232,563.6,554.35,10,0.0,CLOSED,ORB Break SELL [PYR2],12:56,-1.77,False,0.75,ICICIPRULI,2,,,,1151.4619999999993,1,0
